split,event_id,semantic_type,run,seed,method,status,selected_option_id,selected_candidate_id,selected_value,reason,candidate_order,runtime_ms,response_mode,prompt_eval_count,eval_count,done_reason,raw_content,policy_loaded,applicable_rule,allowed_values,survivor_count,decision_path,qwen_called,oracle_candidate_id,oracle_value,oracle_correct,audit_class,audit_confidence,audit_explanation,reason_oracle_mentions,reason_oracle_positive,reason_oracle_negative,reason_oracle_score,reason_selected_mentions,reason_selected_positive,reason_selected_negative,reason_selected_score,oracle_excerpts,selected_excerpts
test,E15,TEMPORAL_VERSION,1,20260820,OPTION_FORMAL_OPERATION,SELECTED,OPTION_B,CAND_003,64,案件投保申请于2026年7月20日进入核保流程，适用DOC_E15_JULY（生效2026-07-01，失效2026-07-31）。该文档第二条规定最高投保年龄为64周岁。DOC_E15_AUGUST虽于8月1日生效，但第三条明确规定8月1日前已进入核保流程的申请仍按进入当日有效版本处理。因此适用数值为64，对应OPTION_B。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,4100,json_schema,1613,140,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_B"",
  ""reason"": ""案件投保申请于2026年7月20日进入核保流程，适用DOC_E15_JULY（生效2026-07-01，失效2026-07-31）。该文档第二条规定最高投保年龄为64周岁。DOC_E15_AUGUST虽于8月1日生效，但第三条明确规定8月1日前已进入核保流程的申请仍按进入当日有效版本处理。因此适用数值为64，对应OPTION_B。""
}",,,,,,True,CAND_003,64,True,SUCCESS,HIGH,最终动作与Oracle一致,2,2,0,6,2,2,0,6,-07-01，失效2026-07-31）。该文档第二条规定最高投保年龄为64周岁。DOC_E15_AUGUST虽于8月1日生效，但第三条明确规定8月 || 定8月1日前已进入核保流程的申请仍按进入当日有效版本处理。因此适用数值为64，对应OPTION_B。,-07-01，失效2026-07-31）。该文档第二条规定最高投保年龄为64周岁。DOC_E15_AUGUST虽于8月1日生效，但第三条明确规定8月 || 定8月1日前已进入核保流程的申请仍按进入当日有效版本处理。因此适用数值为64，对应OPTION_B。
test,E15,TEMPORAL_VERSION,1,20260820,OPTION_FORMAL_POLICY,SELECTED,OPTION_B,CAND_003,64,案件事实显示投保申请进入核保流程日期为2026年7月20日，处于DOC_E15_JULY（2026-07-01至2026-07-31）的有效期内。根据formal_policy规则E15_JULY_VERSION_SCOPE（优先级300），该日期段适用的最高投保年龄为64周岁。人工评估日期2026年8月21日不改变版本判断日期。因此，应将属性值从70更新为,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,4392,json_schema,2096,147,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_B"",
  ""reason"": ""案件事实显示投保申请进入核保流程日期为2026年7月20日，处于DOC_E15_JULY（2026-07-01至2026-07-31）的有效期内。根据formal_policy规则E15_JULY_VERSION_SCOPE（优先级300），该日期段适用的最高投保年龄为64周岁。人工评估日期2026年8月21日不改变版本判断日期。因此，应将属性值从70更新为""
}",,,,,,True,CAND_003,64,True,SUCCESS,HIGH,最终动作与Oracle一致,1,1,0,3,1,1,0,3,VERSION_SCOPE（优先级300），该日期段适用的最高投保年龄为64周岁。人工评估日期2026年8月21日不改变版本判断日期。因此，应将属性,VERSION_SCOPE（优先级300），该日期段适用的最高投保年龄为64周岁。人工评估日期2026年8月21日不改变版本判断日期。因此，应将属性
test,E15,TEMPORAL_VERSION,1,20260820,OPTION_FORMAL_POLICY_HARD_GATE,SELECTED,OPTION_B,CAND_003,64,硬门禁：规则E15_JULY_VERSION_SCOPE唯一允许值=['64']，唯一存活候选直接选择,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,0,formal_policy_hard_gate,0,0,,,True,E15_JULY_VERSION_SCOPE,64,1,DETERMINISTIC_SELECT,False,CAND_003,64,True,SUCCESS,HIGH,最终动作与Oracle一致,1,2,0,5,1,2,0,5,硬门禁：规则E15_JULY_VERSION_SCOPE唯一允许值=['64']，唯一存活候选直接选择,硬门禁：规则E15_JULY_VERSION_SCOPE唯一允许值=['64']，唯一存活候选直接选择
test,E15,TEMPORAL_VERSION,1,20260820,OPTION_DESCRIPTION,SELECTED,OPTION_B,CAND_003,64,案件投保申请于2026年7月20日进入核保流程，处于DOC_E15_JULY（生效2026-07-01至2026-07-31）的有效期内。根据DOC_E15_JULY第四条，版本判断日期为申请进入核保流程的日期（2026年7月20日），人工评估日期（8月21日）不改变该日期。DOC_E15_AUGUST虽于8月1日生效，但其第三条明确规定2026年8月1日前,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,4484,json_schema,1343,160,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_B"",
  ""reason"": ""案件投保申请于2026年7月20日进入核保流程，处于DOC_E15_JULY（生效2026-07-01至2026-07-31）的有效期内。根据DOC_E15_JULY第四条，版本判断日期为申请进入核保流程的日期（2026年7月20日），人工评估日期（8月21日）不改变该日期。DOC_E15_AUGUST虽于8月1日生效，但其第三条明确规定2026年8月1日前""
  }",,,,,,True,CAND_003,64,True,SUCCESS,HIGH,最终动作与Oracle一致,0,0,0,0,0,0,0,0,,
test,E24,GENERAL_RULE_EXCEPTION,1,20260820,DIRECT_FREE,SELECTED,OPTION_A,CAND_002,0,DOC_E24_TERMS 生效日期为 2026-07-10，案件事实（第五条）明确描述适用该文档的例外规则情形（连续转入、原保障未中断、第 20 日提交证明），且第六条规定例外规则优先于一般规则。因此，等待期天数取例外规则确定的 0 天。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,3148,json_schema,686,107,stop,"{
  ""abstain"": false,
  ""value"": ""0"",
  ""reason"": ""DOC_E24_TERMS 生效日期为 2026-07-10，案件事实（第五条）明确描述适用该文档的例外规则情形（连续转入、原保障未中断、第 20 日提交证明），且第六条规定例外规则优先于一般规则。因此，等待期天数取例外规则确定的 0 天。""
}",,,,,,True,CAND_002,0,True,SUCCESS,HIGH,最终动作与Oracle一致,1,0,0,1,1,0,0,1,，且第六条规定例外规则优先于一般规则。因此，等待期天数取例外规则确定的 0 天。,，且第六条规定例外规则优先于一般规则。因此，等待期天数取例外规则确定的 0 天。
test,E24,GENERAL_RULE_EXCEPTION,1,20260820,VALUE_ENUM,SELECTED,OPTION_A,CAND_002,0,DOC_E24_TERMS 生效日期为 2026-07-10，案件事实（第五条）明确本案属于合作单位团体计划转入、原保障连续且证明在第 20 日提交，满足第三条例外规则条件。根据第六条及第三条，例外规则优先于一般规则，故等待期按 0 天处理。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,3048,json_schema,690,107,stop,"{
  ""abstain"": false,
  ""value"": ""0"",
  ""reason"": ""DOC_E24_TERMS 生效日期为 2026-07-10，案件事实（第五条）明确本案属于合作单位团体计划转入、原保障连续且证明在第 20 日提交，满足第三条例外规则条件。根据第六条及第三条，例外规则优先于一般规则，故等待期按 0 天处理。""
}",,,,,,True,CAND_002,0,True,SUCCESS,HIGH,最终动作与Oracle一致,1,0,0,1,1,0,0,1,条例外规则条件。根据第六条及第三条，例外规则优先于一般规则，故等待期按 0 天处理。,条例外规则条件。根据第六条及第三条，例外规则优先于一般规则，故等待期按 0 天处理。
test,E24,GENERAL_RULE_EXCEPTION,1,20260820,OPTION_VALUE_ONLY,SELECTED,OPTION_A,CAND_002,0,文件DOC_E24_TERMS生效日期为2026-07-10，案件事实（第五条）明确描述本次申请属于合作单位团体计划转入、原保障连续且证明在第20日提交。第三条例外规则规定满足该条件时等待期为0天，且第六条确认例外优先于一般规则。因此适用OPTION_A（0天）。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,3286,json_schema,781,109,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""文件DOC_E24_TERMS生效日期为2026-07-10，案件事实（第五条）明确描述本次申请属于合作单位团体计划转入、原保障连续且证明在第20日提交。第三条例外规则规定满足该条件时等待期为0天，且第六条确认例外优先于一般规则。因此适用OPTION_A（0天）。""
}",,,,,,True,CAND_002,0,True,SUCCESS,HIGH,最终动作与Oracle一致,2,2,0,6,2,2,0,6,、原保障连续且证明在第20日提交。第三条例外规则规定满足该条件时等待期为0天，且第六条确认例外优先于一般规则。因此适用OPTION_A（0天）。 || 等待期为0天，且第六条确认例外优先于一般规则。因此适用OPTION_A（0天）。,、原保障连续且证明在第20日提交。第三条例外规则规定满足该条件时等待期为0天，且第六条确认例外优先于一般规则。因此适用OPTION_A（0天）。 || 等待期为0天，且第六条确认例外优先于一般规则。因此适用OPTION_A（0天）。
test,E24,GENERAL_RULE_EXCEPTION,1,20260820,OPTION_FORMAL_OPERATION,SELECTED,OPTION_A,CAND_002,0,文档DOC_E24_TERMS生效日期为2026-07-10，案件事实（第五条）明确描述本次申请属于合作单位团体计划转入、原保障连续且证明在第20日提交。根据第三条例外规则，满足该条件时等待期按0天处理；第六条确认例外规则优先于第二条一般规则（90天）。因此选择OPTION_A将值设为0。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,3622,json_schema,1254,118,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""文档DOC_E24_TERMS生效日期为2026-07-10，案件事实（第五条）明确描述本次申请属于合作单位团体计划转入、原保障连续且证明在第20日提交。根据第三条例外规则，满足该条件时等待期按0天处理；第六条确认例外规则优先于第二条一般规则（90天）。因此选择OPTION_A将值设为0。""
}",,,,,,True,CAND_002,0,True,SUCCESS,HIGH,最终动作与Oracle一致,2,2,0,6,2,2,0,6,原保障连续且证明在第20日提交。根据第三条例外规则，满足该条件时等待期按0天处理；第六条确认例外规则优先于第二条一般规则（90天）。因此选择OPT || 例外规则优先于第二条一般规则（90天）。因此选择OPTION_A将值设为0。,原保障连续且证明在第20日提交。根据第三条例外规则，满足该条件时等待期按0天处理；第六条确认例外规则优先于第二条一般规则（90天）。因此选择OPT || 例外规则优先于第二条一般规则（90天）。因此选择OPTION_A将值设为0。
test,E24,GENERAL_RULE_EXCEPTION,1,20260820,OPTION_FORMAL_POLICY,SELECTED,OPTION_A,CAND_002,0,案件事实显示：团体转入(true)、原保障未中断(true)、证明提交第20日(<=30)。根据formal_policy规则E24_CONTINUOUS_TRANSFER_EXCEPTION（优先级300），满足所有条件，适用例外规则，等待期应为0天。OPTION_A对应新值0，符合规则要求。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,3189,json_schema,1670,100,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""案件事实显示：团体转入(true)、原保障未中断(true)、证明提交第20日(<=30)。根据formal_policy规则E24_CONTINUOUS_TRANSFER_EXCEPTION（优先级300），满足所有条件，适用例外规则，等待期应为0天。OPTION_A对应新值0，符合规则要求。""
}",,,,,,True,CAND_002,0,True,SUCCESS,HIGH,最终动作与Oracle一致,2,4,0,10,2,4,0,10,XCEPTION（优先级300），满足所有条件，适用例外规则，等待期应为0天。OPTION_A对应新值0，符合规则要求。 || ），满足所有条件，适用例外规则，等待期应为0天。OPTION_A对应新值0，符合规则要求。,XCEPTION（优先级300），满足所有条件，适用例外规则，等待期应为0天。OPTION_A对应新值0，符合规则要求。 || ），满足所有条件，适用例外规则，等待期应为0天。OPTION_A对应新值0，符合规则要求。
test,E24,GENERAL_RULE_EXCEPTION,1,20260820,OPTION_FORMAL_POLICY_HARD_GATE,SELECTED,OPTION_A,CAND_002,0,硬门禁：规则E24_CONTINUOUS_TRANSFER_EXCEPTION唯一允许值=['0']，唯一存活候选直接选择,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,0,formal_policy_hard_gate,0,0,,,True,E24_CONTINUOUS_TRANSFER_EXCEPTION,0,1,DETERMINISTIC_SELECT,False,CAND_002,0,True,SUCCESS,HIGH,最终动作与Oracle一致,1,2,0,5,1,2,0,5,ONTINUOUS_TRANSFER_EXCEPTION唯一允许值=['0']，唯一存活候选直接选择,ONTINUOUS_TRANSFER_EXCEPTION唯一允许值=['0']，唯一存活候选直接选择
test,E24,GENERAL_RULE_EXCEPTION,1,20260820,OPTION_DESCRIPTION,SELECTED,OPTION_A,CAND_002,0,文档DOC_E24_TERMS生效日期为2026-07-10，案件事实（第五条）明确描述本次申请属于合作单位团体计划转入、原保障连续且证明在第20日提交。根据第三条例外规则，满足该条件时等待期按0天处理；第六条确认例外规则优先于一般规则。因此OPTION_A正确。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,3376,json_schema,982,109,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_A"",
  ""reason"": ""文档DOC_E24_TERMS生效日期为2026-07-10，案件事实（第五条）明确描述本次申请属于合作单位团体计划转入、原保障连续且证明在第20日提交。根据第三条例外规则，满足该条件时等待期按0天处理；第六条确认例外规则优先于一般规则。因此OPTION_A正确。""
}",,,,,,True,CAND_002,0,True,SUCCESS,HIGH,最终动作与Oracle一致,1,0,0,1,1,0,0,1,原保障连续且证明在第20日提交。根据第三条例外规则，满足该条件时等待期按0天处理；第六条确认例外规则优先于一般规则。因此OPTION_A正确。,原保障连续且证明在第20日提交。根据第三条例外规则，满足该条件时等待期按0天处理；第六条确认例外规则优先于一般规则。因此OPTION_A正确。
test,E25,GENERAL_RULE_EXCEPTION,1,20260820,DIRECT_FREE,SELECTED,OPTION_C,CAND_001,15,案件事实（出生后第46日投保、健康告知无异常、无既往重疾）满足DOC_E25_TERMS第四条延迟投保规则条件，故适用15天等待期。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,2284,json_schema,675,70,stop,"{
  ""abstain"": false,
  ""value"": ""15"",
  ""reason"": ""案件事实（出生后第46日投保、健康告知无异常、无既往重疾）满足DOC_E25_TERMS第四条延迟投保规则条件，故适用15天等待期。""
}",,,,,,True,CAND_001,15,True,SUCCESS,HIGH,最终动作与Oracle一致,1,1,0,3,1,1,0,3,无既往重疾）满足DOC_E25_TERMS第四条延迟投保规则条件，故适用15天等待期。,无既往重疾）满足DOC_E25_TERMS第四条延迟投保规则条件，故适用15天等待期。
test,E25,GENERAL_RULE_EXCEPTION,1,20260820,VALUE_ENUM,SELECTED,OPTION_C,CAND_001,15,案件事实（出生后第46日投保）满足DOC_E25_TERMS第四条延迟投保规则条件（超过30日但不超过90日，且健康告知无异常、无既往重疾），故适用该例外规则，等待期天数为15天。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,2663,json_schema,679,88,stop,"{
  ""abstain"": false,
  ""value"": ""15"",
  ""reason"": ""案件事实（出生后第46日投保）满足DOC_E25_TERMS第四条延迟投保规则条件（超过30日但不超过90日，且健康告知无异常、无既往重疾），故适用该例外规则，等待期天数为15天。""
}",,,,,,True,CAND_001,15,True,SUCCESS,HIGH,最终动作与Oracle一致,1,1,0,3,1,1,0,3,过90日，且健康告知无异常、无既往重疾），故适用该例外规则，等待期天数为15天。,过90日，且健康告知无异常、无既往重疾），故适用该例外规则，等待期天数为15天。
test,E25,GENERAL_RULE_EXCEPTION,1,20260820,OPTION_VALUE_ONLY,SELECTED,OPTION_C,CAND_001,15,案件事实显示申请在第46日提交，满足出生后超过30日但不超过90日的条件（延迟投保规则），且健康告知无异常、无既往重大疾病记录。根据文档第四条例外规则，等待期按15天处理。,OPTION_A=CAND_002|OPTION_B=CAND_003|OPTION_C=CAND_001,2574,json_schema,770,82,stop,"{
  ""abstain"": false,
  ""option_id"": ""OPTION_C"",
  ""reason"": ""案件事实显示申请在第46日提交，满足出生后超过30日但不超过90日的条件（延迟投保规则），且健康告知无异常、无既往重大疾病记录。根据文档第四条例外规则，等待期按15天处理。""
}",,,,,,True,CAND_001,15,True,SUCCESS,HIGH,最终动作与Oracle一致,1,0,0,1,1,0,0,1,，且健康告知无异常、无既往重大疾病记录。根据文档第四条例外规则，等待期按15天处理。,，且健康告知无异常、无既往重大疾病记录。根据文档第四条例外规则，等待期按15天处理。
