event_id,split,semantic_type,policy_file,policy_semantics,annotation_status,manual_formalization,uses_oracle_in_policy,uses_model_output_in_policy,contains_forbidden_source_marker,candidate_description_used,event_specific_policy_file,source_document_count,source_documents,facts_count,rules_count,conditions_count,allowed_value_refs_count,evidence_quote_available,evidence_quote,policy_complexity_points,measured_annotation_time,annotation_time_minutes,complexity_proxy_basis,audit_note
EXT_E011,external,TEMPORAL_VERSION,rules\EXT_E011-formal-policy.json,temporal_version,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_011_OLD|EXT_DOC_011_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E012,external,TEMPORAL_VERSION,rules\EXT_E012-formal-policy.json,temporal_version,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_012_OLD|EXT_DOC_012_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E013,external,CROSS_SENTENCE_SCOPE,rules\EXT_E013-formal-policy.json,cross_sentence_scope,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_013_OLD|EXT_DOC_013_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E014,external,CROSS_SENTENCE_SCOPE,rules\EXT_E014-formal-policy.json,cross_sentence_scope,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_014_OLD|EXT_DOC_014_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E015,external,CROSS_SENTENCE_SCOPE,rules\EXT_E015-formal-policy.json,cross_sentence_scope,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_015_OLD|EXT_DOC_015_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E016,external,CROSS_SENTENCE_SCOPE,rules\EXT_E016-formal-policy.json,cross_sentence_scope,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_016_OLD|EXT_DOC_016_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E017,external,CROSS_SENTENCE_SCOPE,rules\EXT_E017-formal-policy.json,cross_sentence_scope,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_017_OLD|EXT_DOC_017_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E018,external,CROSS_SENTENCE_SCOPE,rules\EXT_E018-formal-policy.json,cross_sentence_scope,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_018_OLD|EXT_DOC_018_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E019,external,CROSS_SENTENCE_SCOPE,rules\EXT_E019-formal-policy.json,cross_sentence_scope,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_019_OLD|EXT_DOC_019_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E020,external,CROSS_SENTENCE_SCOPE,rules\EXT_E020-formal-policy.json,cross_sentence_scope,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_020_OLD|EXT_DOC_020_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E021,external,CROSS_SENTENCE_SCOPE,rules\EXT_E021-formal-policy.json,cross_sentence_scope,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_021_OLD|EXT_DOC_021_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E022,external,GENERAL_RULE_EXCEPTION,rules\EXT_E022-formal-policy.json,general_rule_exception,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_022_OLD|EXT_DOC_022_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E023,external,GENERAL_RULE_EXCEPTION,rules\EXT_E023-formal-policy.json,general_rule_exception,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_023_OLD|EXT_DOC_023_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E024,external,GENERAL_RULE_EXCEPTION,rules\EXT_E024-formal-policy.json,general_rule_exception,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_024_OLD|EXT_DOC_024_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E025,external,GENERAL_RULE_EXCEPTION,rules\EXT_E025-formal-policy.json,general_rule_exception,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_025_OLD|EXT_DOC_025_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E026,external,GENERAL_RULE_EXCEPTION,rules\EXT_E026-formal-policy.json,general_rule_exception,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_026_OLD|EXT_DOC_026_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E027,external,GENERAL_RULE_EXCEPTION,rules\EXT_E027-formal-policy.json,general_rule_exception,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_027_OLD|EXT_DOC_027_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E028,external,GENERAL_RULE_EXCEPTION,rules\EXT_E028-formal-policy.json,general_rule_exception,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_028_OLD|EXT_DOC_028_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E029,external,GENERAL_RULE_EXCEPTION,rules\EXT_E029-formal-policy.json,general_rule_exception,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_029_OLD|EXT_DOC_029_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
EXT_E030,external,GENERAL_RULE_EXCEPTION,rules\EXT_E030-formal-policy.json,general_rule_exception,EXTERNAL_PUBLIC_SCRIPTED_FORMALIZATION,True,False,False,False,False,True,2,EXT_DOC_030_OLD|EXT_DOC_030_NEW,4,2,3,2,True,,44,False,,"8 + 3*facts + 5*rules + 2*conditions + 4*source_docs; heuristic complexity proxy, not measured wall-clock annotation time",Policy is treated as manually/script structured public input; hard-gate runtime cost excludes this construction effort.
