event_id,split,semantic_type,domain,title,case_context,subject_label,predicate_label,value_kind,allowed_min,allowed_max,document_ids,source_owl,source_url,retrieved_at,status,notes,lexical_status,support_status,semantic_support,support_adjudication_method,support_checked_before_model_run,support_gate_version
EXT_E011,external,TEMPORAL_VERSION,web_accessibility,WCAG 2.2 added success criterion 3.3.8,Assess the target conformance requirement after adopting WCAG 2.2; the relevant success criterion is 3.3.8 Accessible Authentication Minimum.,WCAG success criterion 3.3.8,versioned requirement status,literal_string,,,EXT_DOC_011_OLD|EXT_DOC_011_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:25.497874+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E012,external,TEMPORAL_VERSION,web_accessibility,WCAG 2.2 added success criterion 3.3.9,Assess the target conformance requirement after adopting WCAG 2.2; the relevant success criterion is 3.3.9 Accessible Authentication Enhanced.,WCAG success criterion 3.3.9,versioned requirement status,literal_string,,,EXT_DOC_012_OLD|EXT_DOC_012_NEW,,https://www.w3.org/TR/wcag2mobile-22/,2026-08-27T13:59:25.518240+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E013,external,CROSS_SENTENCE_SCOPE,web_accessibility,WCAG 2.1 cross-reference scope for 1.3.4,Assess the scope of the WCAG 2.1 addition 1.3.4 Orientation; the target value should preserve the criterion identifier and conformance level.,WCAG success criterion 1.3.4,cross-reference requirement scope,literal_string,,,EXT_DOC_013_OLD|EXT_DOC_013_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:25.538097+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E014,external,CROSS_SENTENCE_SCOPE,web_accessibility,WCAG 2.1 cross-reference scope for 1.3.5,Assess the scope of the WCAG 2.1 addition 1.3.5 Identify Input Purpose; the target value should preserve the criterion identifier and conformance level.,WCAG success criterion 1.3.5,cross-reference requirement scope,literal_string,,,EXT_DOC_014_OLD|EXT_DOC_014_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:25.565863+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E015,external,CROSS_SENTENCE_SCOPE,web_accessibility,WCAG 2.1 cross-reference scope for 1.3.6,Assess the scope of the WCAG 2.1 addition 1.3.6 Identify Purpose; the target value should preserve the criterion identifier and conformance level.,WCAG success criterion 1.3.6,cross-reference requirement scope,literal_string,,,EXT_DOC_015_OLD|EXT_DOC_015_NEW,,https://www.w3.org/TR/wcag2mobile-22/,2026-08-27T13:59:25.585466+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E016,external,CROSS_SENTENCE_SCOPE,web_accessibility,WCAG 2.1 cross-reference scope for 1.4.10,Assess the scope of the WCAG 2.1 addition 1.4.10 Reflow; the target value should preserve the criterion identifier and conformance level.,WCAG success criterion 1.4.10,cross-reference requirement scope,literal_string,,,EXT_DOC_016_OLD|EXT_DOC_016_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:25.603930+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E017,external,CROSS_SENTENCE_SCOPE,web_accessibility,WCAG 2.1 cross-reference scope for 1.4.11,Assess the scope of the WCAG 2.1 addition 1.4.11 Non-text Contrast; the target value should preserve the criterion identifier and conformance level.,WCAG success criterion 1.4.11,cross-reference requirement scope,literal_string,,,EXT_DOC_017_OLD|EXT_DOC_017_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:25.632241+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E018,external,CROSS_SENTENCE_SCOPE,web_accessibility,WCAG 2.1 cross-reference scope for 1.4.12,Assess the scope of the WCAG 2.1 addition 1.4.12 Text Spacing; the target value should preserve the criterion identifier and conformance level.,WCAG success criterion 1.4.12,cross-reference requirement scope,literal_string,,,EXT_DOC_018_OLD|EXT_DOC_018_NEW,,https://www.w3.org/TR/wcag2mobile-22/,2026-08-27T13:59:25.653693+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E019,external,CROSS_SENTENCE_SCOPE,web_accessibility,WCAG 2.1 cross-reference scope for 1.4.13,Assess the scope of the WCAG 2.1 addition 1.4.13 Content on Hover or Focus; the target value should preserve the criterion identifier and conformance level.,WCAG success criterion 1.4.13,cross-reference requirement scope,literal_string,,,EXT_DOC_019_OLD|EXT_DOC_019_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:25.676762+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E020,external,CROSS_SENTENCE_SCOPE,web_accessibility,WCAG 2.1 cross-reference scope for 2.1.4,Assess the scope of the WCAG 2.1 addition 2.1.4 Character Key Shortcuts; the target value should preserve the criterion identifier and conformance level.,WCAG success criterion 2.1.4,cross-reference requirement scope,literal_string,,,EXT_DOC_020_OLD|EXT_DOC_020_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:25.702241+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E021,external,CROSS_SENTENCE_SCOPE,web_accessibility,WCAG 2.1 cross-reference scope for 4.1.3,Assess the scope of the WCAG 2.1 addition 4.1.3 Status Messages; the target value should preserve the criterion identifier and conformance level.,WCAG success criterion 4.1.3,cross-reference requirement scope,literal_string,,,EXT_DOC_021_OLD|EXT_DOC_021_NEW,,https://www.w3.org/TR/wcag2mobile-22/,2026-08-27T13:59:25.725934+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E022,external,GENERAL_RULE_EXCEPTION,web_accessibility,WCAG 2.1 input modality rule 2.5.1,Assess whether WCAG 2.1 adds an input modality requirement for 2.5.1 Pointer Gestures and what conformance level should be represented.,WCAG success criterion 2.5.1,input modality rule status,literal_string,,,EXT_DOC_022_OLD|EXT_DOC_022_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:25.749706+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E023,external,GENERAL_RULE_EXCEPTION,web_accessibility,WCAG 2.1 input modality rule 2.5.2,Assess whether WCAG 2.1 adds an input modality requirement for 2.5.2 Pointer Cancellation and what conformance level should be represented.,WCAG success criterion 2.5.2,input modality rule status,literal_string,,,EXT_DOC_023_OLD|EXT_DOC_023_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:25.776576+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E024,external,GENERAL_RULE_EXCEPTION,web_accessibility,WCAG 2.1 input modality rule 2.5.3,Assess whether WCAG 2.1 adds an input modality requirement for 2.5.3 Label in Name and what conformance level should be represented.,WCAG success criterion 2.5.3,input modality rule status,literal_string,,,EXT_DOC_024_OLD|EXT_DOC_024_NEW,,https://www.w3.org/TR/wcag2mobile-22/,2026-08-27T13:59:25.802070+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E025,external,GENERAL_RULE_EXCEPTION,digital_identity,NIST SP 800-63-4 change: risk_management_context,Assess the NIST SP 800-63 Revision 4 change summary after the 2025 final release; the target change is: Updates text and context setting for risk management.,NIST SP 800-63-4 risk_management_context,revision change status,literal_string,,,EXT_DOC_025_OLD|EXT_DOC_025_NEW,,https://pages.nist.gov/800-63-4/,2026-08-27T13:59:25.814557+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E026,external,GENERAL_RULE_EXCEPTION,digital_identity,NIST SP 800-63-4 change: continuous_evaluation_metrics,Assess the NIST SP 800-63 Revision 4 change summary after the 2025 final release; the target change is: Adds recommended continuous evaluation metrics.,NIST SP 800-63-4 continuous_evaluation_metrics,revision change status,literal_string,,,EXT_DOC_026_OLD|EXT_DOC_026_NEW,,https://pages.nist.gov/800-63-4/sp800-63a.html,2026-08-27T13:59:25.854363+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E027,external,GENERAL_RULE_EXCEPTION,digital_identity,NIST SP 800-63-4 change: fraud_requirements_identity_proofing,Assess the NIST SP 800-63 Revision 4 change summary after the 2025 final release; the target change is: Expands fraud requirements and recommendations for identity proofing processes.,NIST SP 800-63-4 fraud_requirements_identity_proofing,revision change status,literal_string,,,EXT_DOC_027_OLD|EXT_DOC_027_NEW,,https://pages.nist.gov/800-63-4/sp800-63b.html,2026-08-27T14:24:33.439018+00:00,READY,,LEXICAL_FAIL,SEMANTIC_PASS,PASS,paraphrase_relation_adjudication,true,v8.1-semantic-adjudication
EXT_E028,external,GENERAL_RULE_EXCEPTION,digital_identity,NIST SP 800-63-4 change: identity_proofing_roles_types,Assess the NIST SP 800-63 Revision 4 change summary after the 2025 final release; the target change is: Restructures the identity proofing controls to better define roles and types of identity proofing.,NIST SP 800-63-4 identity_proofing_roles_types,revision change status,literal_string,,,EXT_DOC_028_OLD|EXT_DOC_028_NEW,,https://pages.nist.gov/800-63-4/,2026-08-27T13:59:25.941260+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E029,external,GENERAL_RULE_EXCEPTION,digital_identity,NIST SP 800-63-4 change: injection_attacks_forged_media,Assess the NIST SP 800-63 Revision 4 change summary after the 2025 final release; the target change is: Adds controls for addressing injection attacks and forged media.,NIST SP 800-63-4 injection_attacks_forged_media,revision change status,literal_string,,,EXT_DOC_029_OLD|EXT_DOC_029_NEW,,https://pages.nist.gov/800-63-4/sp800-63a.html,2026-08-27T13:59:25.952799+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E030,external,GENERAL_RULE_EXCEPTION,digital_identity,NIST SP 800-63-4 change: syncable_authenticators,Assess the NIST SP 800-63 Revision 4 change summary after the 2025 final release; the target change is: Integrates syncable authenticators.,NIST SP 800-63-4 syncable_authenticators,revision change status,literal_string,,,EXT_DOC_030_OLD|EXT_DOC_030_NEW,,https://pages.nist.gov/800-63-4/sp800-63b.html,2026-08-27T13:59:25.978191+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E031,external,TEMPORAL_VERSION,web_accessibility,WCAG 2.2 public change: Parsing,Assess the current normative representation for WCAG 2.2 Parsing using public source What's New in WCAG 2.2.,WCAG 2.2 Parsing,versioned requirement status,literal_string,,,EXT_DOC_031_OLD|EXT_DOC_031_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:26.006329+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E032,external,GENERAL_RULE_EXCEPTION,web_accessibility,WCAG 2.2 public change: WCAG 2.2 language notes,Assess the current normative representation for WCAG 2.2 WCAG 2.2 language notes using public source What's New in WCAG 2.2.,WCAG 2.2 WCAG 2.2 language notes,versioned requirement status,literal_string,,,EXT_DOC_032_OLD|EXT_DOC_032_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:26.034273+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E033,external,CROSS_SENTENCE_SCOPE,web_accessibility,WCAG 2.2 public change: WCAG 2.2 backward compatibility,Assess the current normative representation for WCAG 2.2 WCAG 2.2 backward compatibility using public source What's New in WCAG 2.2.,WCAG 2.2 WCAG 2.2 backward compatibility,versioned requirement status,literal_string,,,EXT_DOC_033_OLD|EXT_DOC_033_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:32.094356+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E034,external,TEMPORAL_VERSION,web_accessibility,WCAG 2.2 public change: Focus Not Obscured family,Assess the current normative representation for WCAG 2.2 Focus Not Obscured family using public source What's New in WCAG 2.2.,WCAG 2.2 Focus Not Obscured family,versioned requirement status,literal_string,,,EXT_DOC_034_OLD|EXT_DOC_034_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:26.075999+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E035,external,GENERAL_RULE_EXCEPTION,web_accessibility,WCAG 2.2 public change: Target Size Minimum exception family,Assess the current normative representation for WCAG 2.2 Target Size Minimum exception family using public source What's New in WCAG 2.2.,WCAG 2.2 Target Size Minimum exception family,versioned requirement status,literal_string,,,EXT_DOC_035_OLD|EXT_DOC_035_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:26.104422+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E036,external,CROSS_SENTENCE_SCOPE,web_accessibility,WCAG 2.2 public change: Accessible Authentication scope,Assess the current normative representation for WCAG 2.2 Accessible Authentication scope using public source What's New in WCAG 2.2.,WCAG 2.2 Accessible Authentication scope,versioned requirement status,literal_string,,,EXT_DOC_036_OLD|EXT_DOC_036_NEW,,https://www.w3.org/TR/wcag2mobile-22/,2026-08-27T13:59:26.127544+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E037,external,TEMPORAL_VERSION,web_accessibility,WCAG 2.2 public change: Dragging Movements addition,Assess the current normative representation for WCAG 2.2 Dragging Movements addition using public source What's New in WCAG 2.2.,WCAG 2.2 Dragging Movements addition,versioned requirement status,literal_string,,,EXT_DOC_037_OLD|EXT_DOC_037_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:26.148895+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E038,external,GENERAL_RULE_EXCEPTION,web_accessibility,WCAG 2.2 public change: Redundant Entry addition,Assess the current normative representation for WCAG 2.2 Redundant Entry addition using public source What's New in WCAG 2.2.,WCAG 2.2 Redundant Entry addition,versioned requirement status,literal_string,,,EXT_DOC_038_OLD|EXT_DOC_038_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:26.176370+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E039,external,CROSS_SENTENCE_SCOPE,web_accessibility,WCAG2Mobile scope event EXT_E039,Assess the current normative representation for WCAG2Mobile EXT_E039 using public source Guidance on Applying WCAG 2.2 to Mobile Applications.,WCAG2Mobile EXT_E039,mobile application guidance scope,literal_string,,,EXT_DOC_039_OLD|EXT_DOC_039_NEW,,https://www.w3.org/TR/wcag2mobile-22/,2026-08-27T13:59:26.199184+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E040,external,CROSS_SENTENCE_SCOPE,web_accessibility,WCAG2Mobile scope event EXT_E040,Assess the current normative representation for WCAG2Mobile EXT_E040 using public source Guidance on Applying WCAG 2.2 to Mobile Applications.,WCAG2Mobile EXT_E040,mobile application guidance scope,literal_string,,,EXT_DOC_040_OLD|EXT_DOC_040_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:26.219516+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E041,external,GENERAL_RULE_EXCEPTION,web_accessibility,WCAG2Mobile scope event EXT_E041,Assess the current normative representation for WCAG2Mobile EXT_E041 using public source Guidance on Applying WCAG 2.2 to Mobile Applications.,WCAG2Mobile EXT_E041,mobile application guidance scope,literal_string,,,EXT_DOC_041_OLD|EXT_DOC_041_NEW,,https://www.w3.org/TR/WCAG22/,2026-08-27T13:59:26.246673+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E042,external,GENERAL_RULE_EXCEPTION,web_accessibility,WCAG2Mobile scope event EXT_E042,Assess the current normative representation for WCAG2Mobile EXT_E042 using public source Guidance on Applying WCAG 2.2 to Mobile Applications.,WCAG2Mobile EXT_E042,mobile application guidance scope,literal_string,,,EXT_DOC_042_OLD|EXT_DOC_042_NEW,,https://www.w3.org/TR/wcag2mobile-22/,2026-08-27T13:59:26.268566+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E043,external,TEMPORAL_VERSION,digital_identity,NIST SP 800-63-4 public revision event EXT_E043,Assess the current normative representation for NIST SP 800-63-4 EXT_E043 using public source NIST SP 800-63 Revision 3 to Revision 4.,NIST SP 800-63-4 EXT_E043,revision status,literal_string,,,EXT_DOC_043_OLD|EXT_DOC_043_NEW,,https://pages.nist.gov/800-63-4/sp800-63b.html,2026-08-27T14:24:33.469246+00:00,READY,,LEXICAL_AMBIGUOUS,SEMANTIC_PASS,PASS,paraphrase_relation_adjudication,true,v8.1-semantic-adjudication
EXT_E044,external,TEMPORAL_VERSION,digital_identity,NIST SP 800-63-4 public revision event EXT_E044,Assess the current normative representation for NIST SP 800-63-4 EXT_E044 using public source NIST SP 800-63 Revision 3 to Revision 4.,NIST SP 800-63-4 EXT_E044,revision status,literal_string,,,EXT_DOC_044_OLD|EXT_DOC_044_NEW,,https://pages.nist.gov/800-63-4/sp800-63b.html,2026-08-27T14:24:33.501510+00:00,READY,,LEXICAL_AMBIGUOUS,SEMANTIC_PASS,PASS,paraphrase_relation_adjudication,true,v8.1-semantic-adjudication
EXT_E045,external,GENERAL_RULE_EXCEPTION,digital_identity,NIST SP 800-63-4 public revision event EXT_E045,Assess the current normative representation for NIST SP 800-63-4 EXT_E045 using public source NIST SP 800-63 Revision 3 to Revision 4.,NIST SP 800-63-4 EXT_E045,revision status,literal_string,,,EXT_DOC_045_OLD|EXT_DOC_045_NEW,,https://pages.nist.gov/800-63-4/sp800-63a.html,2026-08-27T14:24:33.557939+00:00,READY,,LEXICAL_AMBIGUOUS,SEMANTIC_PASS,PASS,paraphrase_relation_adjudication,true,v8.1-semantic-adjudication
EXT_E046,external,GENERAL_RULE_EXCEPTION,digital_identity,NIST SP 800-63-4 public revision event EXT_E046,Assess the current normative representation for NIST SP 800-63-4 EXT_E046 using public source NIST SP 800-63 Revision 3 to Revision 4.,NIST SP 800-63-4 EXT_E046,revision status,literal_string,,,EXT_DOC_046_OLD|EXT_DOC_046_NEW,,https://pages.nist.gov/800-63-4/,2026-08-27T13:59:26.340500+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E047,external,CROSS_SENTENCE_SCOPE,digital_identity,NIST SP 800-63-4 public revision event EXT_E047,Assess the current normative representation for NIST SP 800-63-4 EXT_E047 using public source NIST SP 800-63 Revision 3 to Revision 4.,NIST SP 800-63-4 EXT_E047,revision status,literal_string,,,EXT_DOC_047_OLD|EXT_DOC_047_NEW,,https://pages.nist.gov/800-63-4/sp800-63a.html,2026-08-27T13:59:26.352013+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E048,external,GENERAL_RULE_EXCEPTION,digital_identity,NIST SP 800-63-4 public revision event EXT_E048,Assess the current normative representation for NIST SP 800-63-4 EXT_E048 using public source NIST SP 800-63 Revision 3 to Revision 4.,NIST SP 800-63-4 EXT_E048,revision status,literal_string,,,EXT_DOC_048_OLD|EXT_DOC_048_NEW,,https://pages.nist.gov/800-63-4/,2026-08-27T13:59:32.670627+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E050,external,CROSS_SENTENCE_SCOPE,digital_identity,NIST SP 800-63-4 public revision event EXT_E050,Assess the current normative representation for NIST SP 800-63-4 EXT_E050 using public source NIST SP 800-63 Revision 3 to Revision 4.,NIST SP 800-63-4 EXT_E050,revision status,literal_string,,,EXT_DOC_050_OLD|EXT_DOC_050_NEW,,https://pages.nist.gov/800-63-4/,2026-08-27T13:59:32.802619+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
EXT_E051,external,CROSS_SENTENCE_SCOPE,digital_identity,NIST SP 800-63A/B scope event EXT_E051,Assess the current normative representation for NIST SP 800-63A/B EXT_E051 using public source NIST SP 800-63A/B Revision 4.,NIST SP 800-63A/B EXT_E051,document scope status,literal_string,,,EXT_DOC_051_OLD|EXT_DOC_051_NEW,,https://pages.nist.gov/800-63-4/sp800-63b.html,2026-08-27T13:59:26.444574+00:00,READY,,LEXICAL_PASS,LEXICAL_PASS,PASS,lexical_prefilter_confirmed,true,v8.1-semantic-adjudication
